"tool_name","category","description","keywords","icon_url","website_link"
"ChatGPT","Text Generation","Advanced conversational AI for writing, coding, analysis, and answering complex questions with high accuracy.","chatgpt text writing chat conversation language gpt openai assistant nlp","https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/ChatGPT_logo.svg/64px-ChatGPT_logo.svg.png","https://chat.openai.com"
"Claude","Text Generation","Anthropic's AI assistant for nuanced writing, analysis, coding, and thoughtful conversations with safety focus.","claude anthropic text writing analysis chat assistant conversation reasoning","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Claude_AI_logo.svg/64px-Claude_AI_logo.svg.png","https://claude.ai"
"Gemini","Text Generation","Google's multimodal AI for text, image, and code tasks with deep Google integration and real-time search.","gemini google text image multimodal assistant chat analysis bard real-time","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Google_Gemini_logo.svg/64px-Google_Gemini_logo.svg.png","https://gemini.google.com"
"Meta AI","Text Generation","Meta's free AI assistant powered by Llama for chat, image generation, and real-time search across Meta apps.","meta ai llama facebook instagram whatsapp chat assistant free","https://ai.meta.com/favicon.ico","https://ai.meta.com"
"Mistral AI","Text Generation","Open and efficient large language models for text generation, coding, and reasoning tasks.","mistral ai language model open source text generation reasoning europe","https://mistral.ai/favicon.ico","https://mistral.ai"
"Cohere","Text Generation","Enterprise-grade language AI platform for text generation, summarization, classification, and semantic search.","cohere enterprise text generate summarize classify embed search nlp","https://cohere.com/favicon.ico","https://cohere.com"
"Inflection Pi","Text Generation","Empathetic personal AI assistant designed for natural, supportive conversations and emotional intelligence.","pi inflection personal assistant empathetic conversation support mental wellbeing","https://pi.ai/favicon.ico","https://pi.ai"
"Perplexity AI","Research","AI-powered search engine that provides accurate, sourced answers to complex research questions in real time.","perplexity search research answer question information browse internet cite","https://www.perplexity.ai/favicon.ico","https://www.perplexity.ai"
"You.com","Research","AI search engine combining web search with AI-generated answers, code execution, and image generation.","you.com search ai answer web research code image generate","https://you.com/favicon.ico","https://you.com"
"Phind","Coding","AI search engine tailored for developers to find coding solutions, documentation, and technical answers fast.","phind developer search code programming technical answer documentation","https://www.phind.com/favicon.ico","https://www.phind.com"
"Poe","Text Generation","Aggregator platform to chat with multiple AI models including ChatGPT, Claude, Gemini, and custom bots.","poe chatbot aggregator gpt claude gemini multiple model conversation","https://poe.com/favicon.ico","https://poe.com"
"HuggingChat","Text Generation","Open-source ChatGPT alternative powered by Hugging Face running community LLMs for free.","huggingchat open source llm chat free community alternative gpt","https://huggingface.co/favicon.ico","https://huggingface.co/chat"
"Grok","Text Generation","xAI's conversational AI with real-time access to X (Twitter) data for current events and witty responses.","grok xai twitter x real-time current events humor sarcasm chat","https://x.ai/favicon.ico","https://x.ai/grok"
"Character.ai","Chatbot","Platform for creating and chatting with AI personas, fictional characters, celebrities, and custom bots.","character ai chat persona bot roleplay conversation fictional avatar custom","https://character.ai/favicon.ico","https://character.ai"
"Kuki","Chatbot","Award-winning conversational AI chatbot for engaging entertainment, companionship, and brand experiences.","kuki chatbot conversation entertainment companion brand engage fun","https://www.kuki.ai/favicon.ico","https://www.kuki.ai"
"Replika","Chatbot","AI companion app for meaningful conversations, emotional support, and personal growth through daily interaction.","replika companion ai emotional support conversation personal mental wellness","https://replika.com/favicon.ico","https://replika.com"
"Chai AI","Chatbot","Mobile platform for chatting with AI-powered characters and creating custom chatbot personalities.","chai ai chatbot mobile character create conversation personality","https://www.chai-research.com/favicon.ico","https://www.chai-research.com"
"Llama","Text Generation","Meta's open-source large language model family available for local deployment and fine-tuning.","llama meta open source language model local deploy fine-tune weights","https://ai.meta.com/favicon.ico","https://ai.meta.com/llama"
"Ollama","Text Generation","Tool for running large language models locally on your machine with simple command-line interface.","ollama local llm run model offline privacy command line desktop","https://ollama.com/favicon.ico","https://ollama.com"
"LM Studio","Text Generation","Desktop application for discovering, downloading, and running LLMs locally on Mac, Windows, and Linux.","lm studio local llm desktop app offline run chat privacy mac windows","https://lmstudio.ai/favicon.ico","https://lmstudio.ai"
"Groq","Text Generation","Ultra-fast AI inference platform delivering tokens at record speed using custom LPU hardware.","groq fast inference llm speed token language model api hardware","https://groq.com/favicon.ico","https://groq.com"
"Together AI","AI Platform","Cloud platform for running and fine-tuning open-source AI models with fast inference at low cost.","together ai cloud platform open source model inference fine-tune cheap api","https://www.together.ai/favicon.ico","https://www.together.ai"
"Fireworks AI","AI Platform","Fast inference API for open-source language and image models with developer-friendly deployment tools.","fireworks ai inference api fast open source model deploy developer","https://fireworks.ai/favicon.ico","https://fireworks.ai"
"Anyscale","AI Platform","Platform for scalable AI model training, fine-tuning, and serving built on Ray distributed computing.","anyscale ray scale train fine-tune serve model distributed compute","https://www.anyscale.com/favicon.ico","https://www.anyscale.com"
"Scale AI","AI Platform","Data labeling and AI model evaluation platform for training high-quality machine learning models.","scale ai data label annotation training evaluation dataset quality ml","https://scale.com/favicon.ico","https://scale.com"
"Weights & Biases","AI Platform","MLOps platform for tracking experiments, versioning datasets, and monitoring ML model performance.","wandb weights biases mlops experiment tracking model monitor dashboard","https://wandb.ai/favicon.ico","https://wandb.ai"
